type,step,pnl
buy,9691,
sell,9715,162.31466340057796
buy,9718,
sell,9725,-40.81831292896641
buy,9726,
sell,9750,13.83309145650037
sell_short,9754,
buy_cover,9755,-6.2574418111044
sell_short,9759,
buy_cover,9765,-26.48991460588786
buy,9766,
sell,9782,-47.37873101667719
sell_short,9784,
buy_cover,9808,13.625094083255135
sell_short,9810,
buy_cover,9819,-22.325700725308707
buy,9823,
sell,9840,38.39548124558951
buy,9841,
sell,9852,-53.996299647210435
sell_short,9859,
buy_cover,9868,-51.20879068462182
buy,9872,
sell,9896,46.4925018612812
buy,9897,
sell,9910,-45.752090618356306
sell_short,9915,
buy_cover,9927,-46.18949534285002
buy,9932,
sell,9934,-108.31025452783615
sell_short,9987,
buy_cover,10011,-20.075299406979866
sell_short,10012,
buy_cover,10036,40.84452955782399
sell_short,10038,
buy_cover,10056,21.09294728068471
sell_short,10067,
buy_cover,10089,-29.075510610821766
buy,10103,
sell,10123,13.803560226488116
buy,10124,
sell,10132,-49.95290054602083
buy,10144,
sell,10145,12.264901058622854
buy,10153,
sell,10173,1.9534520535635238
buy,10174,
sell,10192,-11.623199508914695
buy,10193,
sell,10194,-9.41259867446297
sell_short,10195,
buy_cover,10219,18.711823339018338
sell_short,10220,
buy_cover,10244,-3.2231367475396837
sell_short,10248,
buy_cover,10257,-14.148235258151544
buy,10258,
sell,10260,-20.694367052077723
sell_short,10263,
buy_cover,10266,-13.303373927648863
buy,10268,
sell,10271,-24.23402988783164
buy,10272,
sell,10296,37.71350008594709
buy,10301,
sell,10310,-17.787970781113472
sell_short,10315,
buy_cover,10316,-1.9028663597409832
sell_short,10317,
buy_cover,10318,-7.188323910123472
buy,10323,
sell,10324,-10.400284744320743
sell_short,10325,
buy_cover,10339,-2.4130527308761884
sell_short,10340,
buy_cover,10349,-20.166128833508083
buy,10350,
sell,10357,-12.075085486394528
sell_short,10373,
buy_cover,10384,-19.789717592966554
sell_short,10390,
buy_cover,10409,-14.594340484962231
buy,10410,
sell,10414,-36.42752311161257
sell_short,10418,
buy_cover,10442,-3.06883458592074
sell_short,10443,
buy_cover,10448,-10.98962351537648
buy,10451,
sell,10473,3.009293615774368
buy,10474,
sell,10484,-22.83596562099956
sell_short,10489,
buy_cover,10494,-14.832414419217457
sell_short,10495,
buy_cover,10519,-7.614318102731886
sell_short,10520,
buy_cover,10533,-5.8687558202673245
sell_short,10534,
buy_cover,10551,-3.6553516766571192
buy,10552,
sell,10553,-6.506796099271924
buy,10554,
sell,10555,-4.6969206140074675
buy,10556,
sell,10557,-9.12799720334624
buy,10558,
sell,10582,0.28143323852964386
buy,10583,
sell,10599,-10.986081243077024
sell_short,10600,
buy_cover,10624,-10.872998721005388
buy,10628,
sell,10640,-16.7605504213534
sell_short,10641,
buy_cover,10654,-4.305172253821183
sell_short,10655,
buy_cover,10662,-13.90898748809559
buy,10665,
sell,10670,-19.350830756698087
sell_short,10672,
buy_cover,10674,-11.630610527662611
buy,10679,
sell,10690,-7.222677046130229
buy,10697,
sell,10719,-12.632419801190736
sell_short,10720,
buy_cover,10721,-5.959701941033927
sell_short,10722,
buy_cover,10723,-18.8049324568492
buy,10731,
sell,10744,-15.098783257188188
buy,10745,
sell,10769,18.967557735730225
buy,10770,
sell,10776,-22.903266164477827
sell_short,10781,
buy_cover,10782,-4.680850139176982
sell_short,10783,
buy_cover,10807,25.86393000804037
sell_short,10810,
buy_cover,10817,-9.353140368955792
sell_short,10818,
buy_cover,10836,3.8553333198788096
sell_short,10837,
buy_cover,10861,60.175748773697705
sell_short,10869,
buy_cover,10886,7.9192265233114085
sell_short,10887,
buy_cover,10895,-25.78054969292316
buy,10903,
sell,10912,-2.655587166659643
buy,10913,
sell,10923,-17.345893131826415
sell_short,10924,
buy_cover,10925,-5.5375124813735965
sell_short,10926,
buy_cover,10939,38.63738990178172
sell_short,10943,
buy_cover,10950,-22.09294973622218
buy,10962,
sell,10974,48.90773866033123
buy,10984,
sell,11008,33.52716996486561
buy,11011,
sell,11018,-10.865169884948045
buy,11019,
